City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Bredasdorp,ZA,2022-01-30 21:42:35,-34.5322,20.0403,69.28,83,85,10.36,overcast clouds
123,Coquimbo,CL,2022-01-30 21:44:07,-29.9533,-71.3436,67.73,72,0,12.66,clear sky
124,Roma,US,2022-01-30 21:44:07,43.2128,-75.4557,20.03,39,20,6.91,few clouds
125,Cherskiy,RU,2022-01-30 21:44:08,68.75,161.3,-27.58,99,98,1.05,overcast clouds
126,Chokurdakh,RU,2022-01-30 21:44:08,70.6333,147.9167,-29.99,93,16,2.8,few clouds
127,Saint Anthony,US,2022-01-30 21:44:08,45.0205,-93.218,24.73,64,0,1.01,clear sky
128,Ostrovnoy,RU,2022-01-30 21:44:09,68.0531,39.5131,12.16,95,98,8.23,overcast clouds
129,Estelle,US,2022-01-30 21:44:09,29.8458,-90.1067,66.99,40,20,17.27,few clouds
130,San Jose,US,2022-01-30 21:43:35,37.3394,-121.895,67.01,51,20,5.01,haze
131,Galveston,US,2022-01-30 21:44:10,29.3669,-94.9669,72.14,53,0,5.99,clear sky
132,Longyearbyen,SJ,2022-01-30 21:40:11,78.2186,15.6401,8.44,61,0,19.57,clear sky
133,Nichinan,JP,2022-01-30 21:44:10,31.6,131.3667,38.35,80,1,6.22,clear sky
134,Provideniya,RU,2022-01-30 21:44:10,64.3833,-173.3,12.31,73,0,17.9,clear sky
135,Dunedin,NZ,2022-01-30 21:44:10,-45.8742,170.5036,66.79,71,0,11.01,clear sky
136,Umm Kaddadah,SD,2022-01-30 21:44:11,13.6017,26.6876,57.42,17,0,14.43,clear sky
137,Vaitape,PF,2022-01-30 21:45:11,-16.5167,-151.75,80.64,72,12,9.06,few clouds
138,Bosaso,SO,2022-01-30 21:45:12,11.2842,49.1816,73.54,72,81,3.58,broken clouds
139,Ballina,AU,2022-01-30 21:45:12,-28.8667,153.5667,75.38,92,75,9.22,broken clouds
140,Hobart,AU,2022-01-30 21:45:02,-42.8794,147.3294,67.12,83,75,6.91,broken clouds
141,Zhangye,CN,2022-01-30 21:45:12,38.9342,100.4517,15.85,41,75,1.81,broken clouds
142,Ambatofinandrahana,MG,2022-01-30 21:45:13,-20.55,46.8,59.59,95,13,4.07,few clouds
143,Chuy,UY,2022-01-30 21:41:23,-33.6971,-53.4616,73.56,68,20,14.29,few clouds
144,Miastko,PL,2022-01-30 21:45:13,54.0028,16.9826,34.09,66,21,16.87,few clouds
145,Kalmunai,LK,2022-01-30 21:42:30,7.4167,81.8167,76.33,88,50,5.06,scattered clouds
146,Khatanga,RU,2022-01-30 21:42:32,71.9667,102.5,-5.91,98,99,9.71,overcast clouds
147,Hervey Bay,AU,2022-01-30 21:40:46,-25.2986,152.8535,79.03,79,19,9.22,few clouds
148,Roald,NO,2022-01-30 21:45:14,62.5833,6.1333,34.32,86,75,8.05,broken clouds
149,Atasu,KZ,2022-01-30 21:44:07,48.6814,71.6433,14.7,95,100,9.46,overcast clouds
150,Saint-Raymond,CA,2022-01-30 21:40:44,45.467,-73.6095,14.34,59,20,3.44,few clouds
151,Peniche,PT,2022-01-30 21:45:14,39.3558,-9.3811,57.61,66,16,6.71,few clouds
152,Quito,EC,2022-01-30 21:45:15,-0.2299,-78.5249,58.15,87,100,3.67,light rain
153,Pochutla,MX,2022-01-30 21:45:15,15.7432,-96.4661,85.82,46,0,7.34,clear sky
154,Borger,NL,2022-01-30 21:43:19,52.9233,6.7931,39.79,82,100,11.16,overcast clouds
155,Nova Vicosa,BR,2022-01-30 21:45:16,-17.8919,-39.3719,80.06,81,49,14.32,scattered clouds
156,Faanui,PF,2022-01-30 21:45:16,-16.4833,-151.75,80.6,72,11,9.1,few clouds
157,Kalaleh,IR,2022-01-30 21:44:18,37.3807,55.4916,38.8,75,0,4.61,clear sky
158,Emerald,AU,2022-01-30 21:40:17,-23.5333,148.1667,78.94,78,61,8.05,broken clouds
159,Bethel,US,2022-01-30 21:40:55,41.3712,-73.414,25.48,47,0,6.91,clear sky
160,Maarianhamina,AX,2022-01-30 21:45:17,60.0973,19.9348,28.26,74,20,14.97,few clouds
161,Port Hardy,CA,2022-01-30 21:44:56,50.6996,-127.4199,43.75,87,100,10.36,light rain
