City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Tuensang,IN,2022-01-30 01:10:13,26.2833,94.8333,46.96,95,90,1.19
239,Pevek,RU,2022-01-30 01:10:14,69.7008,170.3133,-17.3,99,100,3.71
240,Qaanaaq,GL,2022-01-30 01:10:14,77.484,-69.3632,3.94,90,100,11.12
241,Kaitangata,NZ,2022-01-30 01:09:04,-46.2817,169.8464,56.28,96,100,5.35
242,Cape Town,ZA,2022-01-30 01:08:58,-33.9258,18.4232,68.11,70,0,4.0
243,Xining,CN,2022-01-30 01:10:15,36.6167,101.7667,9.5,66,40,2.06
244,Oskarshamn,SE,2022-01-30 01:10:15,57.2645,16.4484,40.77,56,90,25.34
245,Pacific Grove,US,2022-01-30 01:10:15,36.6177,-121.9166,63.01,62,0,3.0
246,Zhigansk,RU,2022-01-30 01:10:16,66.7697,123.3711,-33.25,100,96,3.53
247,Luba,GQ,2022-01-30 01:10:16,3.4568,8.5547,80.8,76,100,2.93
248,Portree,GB,2022-01-30 01:09:14,57.4129,-6.1942,42.85,91,84,4.43
249,San Rafael,AR,2022-01-30 01:07:01,-34.6177,-68.3301,77.54,44,27,8.37
250,Kenai,US,2022-01-30 01:10:17,60.5544,-151.2583,28.09,87,100,8.05
251,Champerico,GT,2022-01-30 01:10:17,14.3,-91.9167,78.76,71,79,5.14
252,Medgidia,RO,2022-01-30 01:10:17,44.25,28.2833,29.7,80,94,12.03
253,Isangel,VU,2022-01-30 01:10:18,-19.55,169.2667,80.82,85,100,13.82
254,Ambulu,ID,2022-01-30 01:10:18,-8.345,113.6058,80.19,84,100,2.35
255,Mgandu,TZ,2022-01-30 01:10:19,-5.95,34.1333,61.05,95,100,2.26
256,Petropavlovsk-Kamchatskiy,RU,2022-01-30 01:10:19,53.0452,158.6483,25.39,74,75,2.24
257,Talas,TR,2022-01-30 01:10:20,38.6908,35.5538,7.47,78,75,4.61
258,Pisco,PE,2022-01-30 01:10:20,-13.7,-76.2167,69.85,78,0,14.97
259,Peniche,PT,2022-01-30 01:10:21,39.3558,-9.3811,56.68,47,8,8.66
260,Zhangye,CN,2022-01-30 01:10:21,38.9342,100.4517,13.69,53,8,1.7
261,Sturgis,US,2022-01-30 01:07:06,41.7992,-85.4192,17.08,67,100,4.61
262,Torit,SS,2022-01-30 01:10:21,4.4133,32.5678,75.38,34,21,0.85
263,Ixtapa,MX,2022-01-30 01:10:22,20.7,-105.2,75.22,78,0,6.91
264,Sao Francisco Do Sul,BR,2022-01-30 01:10:22,-26.2433,-48.6381,71.1,90,100,3.36
265,Mashivka,UA,2022-01-30 01:10:23,49.4431,34.8669,25.25,94,100,10.69
266,Hobyo,SO,2022-01-30 01:10:23,5.3505,48.5268,75.09,74,77,18.03
267,Dese,ET,2022-01-30 01:10:23,11.1333,39.6333,48.33,74,65,0.45
268,Posse,BR,2022-01-30 01:10:24,-14.0931,-46.3694,66.58,93,100,4.59
269,La Romana,DO,2022-01-30 01:10:24,18.4273,-68.9728,78.53,94,20,0.0
270,Khor,RU,2022-01-30 01:10:25,47.8861,134.9464,-15.12,95,44,3.44
271,Saint-Augustin,CA,2022-01-30 01:05:50,51.226,-58.6502,9.03,94,100,25.1
272,Kulhudhuffushi,MV,2022-01-30 01:10:25,6.6221,73.07,82.13,73,81,16.42
273,San Carlos De Bariloche,AR,2022-01-30 01:10:26,-41.1456,-71.3082,60.55,48,40,20.71
